,player_name,date_of_birth,elo,wins,losses,total,ww_perc,wl_perc,bw_perc,bl_perc,avg_diff
0,Shin Jinseo,2000-03-17,3845,508,167,675,0.7,0.0,0.3,0.0,397.8
1,Ke Jie,1997-08-02,3715,508,207,715,0.4,0.1,0.2,0.3,115.0
2,Park Junghwan,1993-01-11,3686,795,320,1115,0.5,0.1,0.2,0.2,230.6
3,Gu Zihao,1998-03-13,3646,264,158,422,0.1,0.3,0.2,0.4,61.2
4,Byun Sangil,1997-01-14,3643,324,203,527,0.2,0.2,0.5,0.1,163.5
5,Ding Hao,2000-06-13,3643,168,117,285,0.0,0.2,0.3,0.5,65.9
6,Mi Yuting,1996-01-08,3639,434,250,684,0.3,0.1,0.2,0.4,52.3
7,Yang Dingxin,1998-10-19,3620,357,240,597,0.2,0.3,0.3,0.2,-8.1
8,Fan Tingyu,1996-08-06,3610,403,263,666,0.5,0.1,0.3,0.1,31.4
9,Li Xuanhao,1995-02-01,3605,283,216,499,0.5,0.1,0.3,0.1,27.9
10,Dang Yifei,1994-06-17,3580,238,229,467,0.3,0.2,0.3,0.2,32.2
11,Li Weiqing,2000-04-10,3570,144,114,258,0.2,0.2,0.5,0.1,86.7
12,Ichiriki Ryo,1997-06-10,3561,478,233,711,0.3,0.0,0.5,0.2,158.9
13,Xu Jiayang,1999-11-22,3560,212,145,357,0.3,0.1,0.1,0.5,48.8
14,Lee Donghoon,1998-02-04,3555,329,223,552,0.3,0.3,0.1,0.3,51.9
15,Lian Xiao,1994-04-08,3550,382,244,626,0.3,0.2,0.1,0.4,-18.8
16,Xie Ke,2000-01-14,3547,192,144,336,0.2,0.3,0.2,0.3,-19.6
17,Tuo Jiaxi,1991-01-15,3546,504,327,831,0.2,0.1,0.4,0.3,-18.9
18,Iyama Yuta,1989-05-24,3545,687,306,993,0.2,0.3,0.1,0.4,20.6
19,Xu Haohong,2001-04-30,3542,298,116,414,0.4,0.0,0.5,0.1,175.6
20,Shin Minjun,1999-01-11,3542,308,229,537,0.4,0.2,0.4,0.0,-2.0
21,Kim Jiseok,1989-06-13,3538,594,352,946,0.4,0.4,0.1,0.1,82.0
22,Liao Yuanhe,2000-12-20,3530,177,144,321,0.2,0.4,0.1,0.3,-33.0
23,Li Qincheng,1998-10-20,3529,268,188,456,0.3,0.4,0.2,0.1,-7.4
24,Peng Liyao,1992-01-14,3528,337,260,597,0.2,0.1,0.5,0.2,30.0
25,Jiang Weijie,1991-10-17,3524,412,291,703,0.0,0.4,0.1,0.5,-28.1
26,Huang Yunsong,1997-01-15,3524,242,188,430,0.3,0.1,0.1,0.5,3.8
27,Zhao Chenyu,1999-06-04,3519,194,170,364,0.2,0.4,0.2,0.2,-57.6
28,Xie Erhao,1998-09-26,3518,239,179,418,0.3,0.4,0.1,0.2,0.5
29,Kim Myounghoon,1997-04-07,3513,168,134,302,0.5,0.0,0.2,0.3,16.8
30,Hsu Chiayuan,1997-12-24,3512,287,149,436,0.5,0.0,0.4,0.1,111.3
31,Kang Dongyun,1989-01-23,3512,523,364,887,0.3,0.2,0.3,0.2,31.7
32,Wang Xinghao,2004-02-02,3511,85,50,135,0.3,0.0,0.6,0.1,232.4
33,Weon Seongjin,1985-07-15,3511,432,320,752,0.2,0.2,0.0,0.6,39.3
34,Chen Yaoye,1989-12-16,3509,595,406,1001,0.4,0.5,0.0,0.1,15.2
35,Shi Yue,1991-01-11,3502,508,336,844,0.4,0.1,0.2,0.3,-41.6
36,Lee Jihyun (m),1992-09-30,3499,176,134,310,0.2,0.0,0.3,0.5,29.0
37,Tao Xinran,1994-07-05,3497,260,217,477,0.1,0.3,0.2,0.4,-58.2
38,Yang Kaiwen,1997-01-28,3497,131,116,247,0.3,0.3,0.3,0.1,-14.1
39,Fan Yin,1997-12-10,3495,144,124,268,0.3,0.2,0.1,0.4,-48.1
40,Park Geunho,1998-06-14,3494,88,91,179,0.2,0.1,0.5,0.2,5.5
41,Lee Changseok,1996-04-27,3493,137,111,248,0.5,0.1,0.2,0.2,66.5
42,Park Yeonghun,1985-04-01,3485,633,413,1046,0.2,0.3,0.3,0.2,25.5
43,Tan Xiao,1993-03-10,3477,386,313,699,0.4,0.1,0.0,0.5,-53.0
44,Tang Weixing,1993-01-15,3473,362,310,672,0.2,0.2,0.2,0.4,44.0
45,Meng Tailing,1987-02-12,3473,288,261,549,0.3,0.1,0.3,0.3,53.2
46,Tong Mengcheng,1996-04-26,3473,262,225,487,0.2,0.5,0.0,0.3,-55.7
47,Tu Xiaoyu,2003-10-17,3472,93,67,160,0.3,0.1,0.3,0.3,59.0
48,Zhang Tao,1991-03-23,3472,164,178,342,0.1,0.1,0.3,0.5,-52.5
49,Yu Zhengqi,1995-06-19,3458,297,177,474,0.2,0.4,0.1,0.3,48.9
50,Seol Hyunjun,1999-01-29,3457,120,110,230,0.3,0.1,0.4,0.2,147.5
51,Wang Haoyang,1988-12-24,3456,164,200,364,0.7,0.0,0.0,0.3,-4.6
52,Shibano Toramaru,1999-11-09,3452,280,163,443,0.1,0.4,0.3,0.2,-8.3
53,Park Hamin,1998-02-14,3448,112,104,216,0.3,0.1,0.5,0.1,80.7
54,Chen Xian,1997-05-11,3439,125,120,245,0.2,0.6,0.0,0.2,-70.3
55,Choi Cheolhan,1985-03-12,3437,701,454,1155,0.1,0.4,0.3,0.2,41.9
56,Rong Yi,1994-11-11,3435,95,111,206,0.3,0.2,0.1,0.4,-33.9
57,Park Jinsol,1986-09-07,3435,131,127,258,0.3,0.3,0.2,0.2,43.5
58,Han Yizhou,1997-02-07,3434,124,145,269,0.2,0.5,0.2,0.1,-89.3
59,An Sungjoon,1991-09-16,3432,186,156,342,0.1,0.5,0.2,0.2,-24.4
60,Park Jonghoon,2000-01-14,3431,54,37,91,0.4,0.3,0.3,0.0,58.1
61,Hong Mujin,1994-05-19,3427,30,28,58,0.4,0.1,0.1,0.4,-17.2
62,Han Seungjoo,1996-11-27,3425,108,113,221,0.2,0.6,0.1,0.1,-63.4
63,Yi Lingtao,2000-05-29,3423,91,95,186,0.1,0.3,0.1,0.5,-102.2
64,Chen Zijian,2000-01-05,3422,102,115,217,0.7,0.2,0.0,0.1,-21.0
65,Lee Yeongkyu,1987-08-23,3422,364,278,642,0.4,0.3,0.2,0.1,11.9
66,Choi Jeong,1996-10-07,3416,414,198,612,0.3,0.2,0.4,0.1,105.8
67,Park Minkyu,1994-06-05,3415,86,86,172,0.3,0.2,0.2,0.3,-49.5
68,Jin Yucheng,2004-06-23,3412,18,14,32,0.2,0.4,0.3,0.1,-83.7
69,Mao Ruilong,1990-01-18,3411,151,169,320,0.3,0.2,0.3,0.2,77.3
70,Lin Junyan,1997-11-26,3410,290,192,482,0.2,0.3,0.2,0.3,0.4
71,Hong Seongji,1987-08-07,3409,217,212,429,0.3,0.3,0.2,0.2,-27.5
72,Wang Yuanjun,1996-03-14,3408,351,222,573,0.1,0.2,0.3,0.4,114.7
73,Sun Tengyu,1993-09-12,3407,139,147,286,0.4,0.1,0.3,0.2,70.1
74,Zhou Ruiyang,1991-03-08,3406,536,380,916,0.1,0.3,0.1,0.5,-39.1
75,Cao Xiaoyang,1992-08-06,3406,56,71,127,0.0,0.0,0.2,0.8,-131.4
76,Kang Yootaek,1991-11-26,3402,160,134,294,0.2,0.2,0.2,0.4,-43.2
77,Heo Yongho,1986-07-02,3400,240,215,455,0.1,0.1,0.5,0.3,56.4
78,Xia Chenkun,1994-10-30,3400,128,122,250,0.1,0.6,0.0,0.3,-114.9
79,Wu Guangya,1990-07-31,3394,212,218,430,0.3,0.3,0.2,0.2,5.1
80,An Jungki,1997-07-09,3391,74,70,144,0.4,0.2,0.1,0.3,-87.8
81,Choi Jaeyoung,1997-04-10,3390,73,79,152,0.3,0.4,0.1,0.2,-29.2
82,Kim Seongjae,1992-08-11,3390,150,171,321,0.1,0.3,0.4,0.2,-65.2
83,Wang Zejin,1999-02-08,3389,103,113,216,0.0,0.3,0.6,0.1,-13.8
84,Lee Wonyoung,1992-05-08,3387,114,125,239,0.2,0.3,0.3,0.2,-42.1
85,Kang Seungmin,1994-11-29,3386,108,135,243,0.1,0.1,0.5,0.3,4.0
86,Heo Youngrak,1996-03-01,3385,8,9,17,0.2,0.2,0.0,0.6,-109.3
87,Chen Qirui,2000-06-15,3384,280,163,443,0.5,0.0,0.3,0.2,189.9
88,Liu Yuhang,2001-07-18,3384,29,30,59,0.3,0.4,0.0,0.3,-60.0
89,Ida Atsushi,1994-03-15,3384,250,180,430,0.1,0.3,0.5,0.1,64.9
90,Kim Jinhwi,1996-01-26,3380,61,63,124,0.2,0.3,0.5,0.0,-26.2
91,Na Hyun,1995-01-30,3379,255,211,466,0.0,0.1,0.5,0.4,2.1
92,Huang Mingyu,2002-08-23,3372,25,32,57,0.4,0.0,0.1,0.5,-83.2
93,Park Sangjin,2001-05-19,3372,72,71,143,0.5,0.2,0.0,0.3,-3.2
94,Kim Junghyun,1991-04-12,3370,127,127,254,0.1,0.0,0.3,0.6,-38.4
95,Gu Li,1983-02-03,3370,750,464,1214,0.5,0.1,0.0,0.4,31.7
96,Paek Hongseok,1986-07-02,3369,249,213,462,0.2,0.6,0.1,0.1,-47.1
97,Hu Yuhan,1996-11-27,3368,50,72,122,0.3,0.3,0.1,0.3,-200.2
98,Sim Jaeik,1998-10-04,3367,26,42,68,0.3,0.4,0.2,0.1,-29.4
99,Jiang Qirun,2000-10-12,3367,71,98,169,0.0,0.2,0.3,0.5,-104.0
